text,left_right,corpus_code
it would be understood that this contingent would also provide training in international human rights law and the geneva convention.,2,62110_200810
"b) link research spending in the natural and social sciences to water policy goals to ensure our higher education institutions create the knowledge for 21st century water management (i.e. emerging issues such as endocrine disrupters, pharmaceuticals and toxics, instream flows and sustainable groundwater yield, climate change adaptation).",1,62110_200810
"women make up over 50 percent of canada’s population, the majority of seniors, and a disproportionate share of the people living in poverty in canada.",0,62110_200810
grant tax relief to businesses that hire apprentices,0,62623_201510
and we will ensure that the regulatory and tax systems are not barriers to venture investors.,2,62420_200406
abandoning paul martin’s appeal of the supreme court decision extending retroactive cpp survivor benefits for same-sex couples.,1,62320_200601
allow members of the public – not just politicians – to make complaints to the ethics commissioner.,1,62623_200601
restoring protection to canada's lakes and rivers by reversing changes made to the navigable waters protection act in budgets 2010 and 2012.,0,62320_201510
we will make environmental assessments credible again.,0,62420_201510
this clarity and determination to act to protect our country has been at the heart of our counter-terrorism measures here at home.,2,62623_201510
make drive-by shootings and firing at a building indictable offences.,2,62320_200810
developing a national strategy to address the needs of urban aboriginal people.,0,62320_200406
"a re-elected conservative government led by stephen harper will enhance the current apprenticeship incentive grant by adding an additional $2,000 completion bonus for apprentices who complete their training.",0,62623_200810
or to receive training for new kinds of work.,0,62420_200601
"in quebec, the number of patients awaiting cataract surgery has been significantly reduced by redistributing the surgeries to a much smaller number of more specialized facilities.",1,62420_200601
"the reality of rising fossil fuel prices, increased losses due to extreme weather events caused by the worsening climate crisis, higher global temperatures and worsening pollution levels will make mitigation and adaptation responses absolutely essential.",0,62110_200810
and lax safety and security.,2,62623_200406
we need to work with the mexican government to press for us action against gun smugglers,1,62110_200810
"implement a fair and open process for military purchasing, ensuring that canadians get the most competitive price and that military personnel get what they need.",0,62320_201510
"over the next five years, sound liberal economic policy principles can be counted on to produce major jobs and growth benefits for canadians:",0,62420_200406
it’s time to put our values into action.,2,62320_200406
a liberal government will also continue to financially support canada health infoway’s development of a national electronic health record system.,1,62420_200406
"the report concludes that, despite being better educated and working harder, canadian families are now “running faster just to stay put and the bottom half is actually falling behind.”",0,62110_200810
require all appliances to meet energy star standards by 2015.,0,62110_200810
"we believe that every child will benefit from learning at an early age, and that no child should be denied access to such benefits by reason of cost.",1,62420_200406
this commitment represented a target set by lester b. pearson when he chaired a world bank commission.,1,62110_200810
"the goal is to assist the afghan authorities in providing governance and security, as well as delivering basic services to citizens.",1,62420_200601
"the liberals and ndp would make these changes to our democratic system and impose them on canadians without consultation because when canadians are asked – as they have been in ontario, british columbia, and prince edward island – they've chosen the status quo.",2,62623_201510
ensure the approval of more firearms safety instructors by using powers in the recently-passed common sense firearms licensing act.,0,62623_201510
but more must be done.,2,62420_200406
we will encourage the construction of new rental housing by removing all gst on new capital investments in affordable rental housing.,1,62420_201510
"high-speed internet access is increasingly an essential gateway to economic opportunities, education and even the latest in health care.",0,62420_200601
implement a “literacy lens” across federal departments to make literacy a government-wide priority.,1,62320_200810
"a re-elected conservative government led by stephen harper will continue support for sport and amateur fitness in canada, at both the elite and recreational levels.",0,62623_200810
but more needs to be done.,1,62420_200601
"we have enormous opportunities in the oil sands, offshore oil and gas, hydro and nuclear.",0,62420_200601
a liberal government will continue to use every available means to pressure the us to abide by the letter and spirit of nafta and its dispute resolution procedure.,2,62420_200601
the 2004 building a national tourism strategy – a framework for federal/provincial/territorial collaboration outlined six key priorities for immediate action and collaboration.,0,62110_200810
that is why a liberal government will continue to strongly support canada’s culture through a range of programs and policies.,0,62420_200601
"to address these great opportunities and challenges, the paul martin government developed a northern strategy, the initial elements of which include:",1,62420_200601
"in areas ranging from human rights, to civil conflict, to the environment, the united nations and other international organizations are addressing matters that historically lay solely within the authority of the nation-state.",1,62420_200601
"establishing an arctic training centre in resolute,",2,62623_201510
so far this reasoning is intuitive and not empirical.,2,62110_200810
the federal government will create a new home care fund totaling $2 billion over five years to encourage the needed reforms.,1,62420_200406
make big polluters pay.,0,62320_200810
"in fact, it's imperative that we do both.",2,62623_201510
"make the visitor visa system more transparent and accountable,",0,62320_201510
it will allow canadians to save money for education or skills training – facilitating lifelong learning – whether for themselves or for their children.,2,62623_200406
and that any decision that would lead to a fundamental change must reflect the clearly expressed will of canadians.,1,62623_201510
"violence against women, as well, remains a crucial concern, as we are reminded every december 6th.",2,62320_200601
checking the power of the pmo by strengthening parliament through: improving question period by mandating that the speaker call on ministers to answer questions asked of them.,1,62320_201510
a significant part of our support for the sector has been dedicated to innovation and crop science.,0,62623_201510
we will release to the public key information that informs the decisions we make.,0,62420_201510
"working with forest communities, workers and businesses to develop value-added wood product industries to create jobs and reduce canada’s unsustainable reliance on exporting raw logs for development overseas.",1,62320_200406
"we believe that first nations' control of first nations education is vital to achieving improved outcomes,",1,62420_201510
a) fast tracking the establishment of “no-take” marine protected areas.,0,62110_200810
influence competitive advantage by ensuring that the macro-economic environment is growth-oriented.,0,62320_200810
"near the end of the fiscal year, we will automatically transfer any uncommitted federal infrastructure funds to municipalities, through a temporary top-up of the gas tax fund.",0,62420_201510
"move to create a more open and transparent government by working with developers, academics and engaged citizens to use government data to solve problems and improve services for all canadians.",1,62320_201510
"canadians need to know how long it currently takes to get a procedure like an mri, and how long it should take.",1,62420_200406
upgrading homes:,0,62320_200810
a consensus has developed among both environmentalists and economists that the best way to reduce greenhouse gas emissions is to put a price on carbon.,0,62420_200810
– reviewing and restructuring the crtc to avoid the mixed mandates and conflicts of interest that undermine the role of the commission in promoting and protecting canadian cultural industries.,0,62320_200601
we will implement an amnesty and buy-back program to collect existing handguns.,2,62420_200601
"a re-elected conservative government will continue to invest in core public infrastructure, to keep our economy moving forward, and to make life easier and better for canadians.",0,62623_201510
"at least 25 per cent of the crtc commissioners will be french-language speakers, appointed in consultation with quebec and groups representing linguistic minorities.",0,62623_200810
"we promised in 2006 “a better approach to fixing canada's infrastructure deficit,” and we've delivered.",2,62623_201510
the funding for social housing needs to be dramatically increased.,1,62110_200810
"address the needs of urban first nations, métis and inuit citizens with special attention to the appropriate development and delivery of affordable housing, public health care, education, skills training, and economic opportunities.",0,62320_200810
"a decade ago, when the liberal government took office with jean chrétien as prime minister, the economic picture was very different.",2,62420_200406
"in the four years following deep cuts in corporate taxes, there is no evidence this has had a positive impact on productivity.",0,62320_200601
"c) provide credit and loan guarantees to non-profit housing organizations and cooperatives for the building and restoration of quality, energy-efficient housing for seniors, people with special needs, and low-income families;",1,62110_200810
"increasing the guaranteed income supplement to help lift 200,000 seniors out of poverty.",1,62320_201510
"b.c. rivers will become over- heated preventing salmon spawning,",0,62110_200810
"the green shift, in year one, will increase the cost of home heating oil for that household by $50 per year or $4.20 per month.",0,62420_200810
"to help commercialize canada’s impressive research output, a liberal government will:",0,62420_200406
the time has come to remove this barrier.,0,62420_200601
this program would serve as a catalyst for an interprovincial program to cover all workers.,1,62320_200406
almost 75 percent of the world's population lives in countries where religious freedom is highly restricted.,2,62623_201510
a re-elected government will: introduce amendments to the arctic waters pollution prevention act to extend our jurisdiction over polluting vessels to the edge of canada's 200 mile exclusive economic zone.,0,62623_200810
"core to a safe community is the avoidance of crime, and the development of a healthy community.",2,62320_200810
work with the provinces through the canada health council to monitor and report on waiting lists and explore ways of dealing with the problem.,0,62623_200406
"to protect these valuable natural resources, we will deliver more robust and credible environmental assessments for all projects that could impact our freshwater and oceans.",0,62420_201510
"creating an action plan to end violence against women,",0,62320_201510
"government data and information should be open by default, in formats that are modern and easy to use.",2,62420_201510
"one vitally important part of keeping our streets and communities safe is keeping them free from drugs, and from the organized gangs that prey on addicts and profit from drug abuse.",2,62623_201510
the green party of canada applies “full cost accounting” to its understanding of economics.,0,62110_200810
and the arctic itself is a key element of our national identity.,2,62623_201510
it is the key to a good economy and prosperous society.,0,62110_200810
"among the many factors that make for an attractive investment environment, a competitive tax system, for both persons and businesses, is particularly important in light of the intense and growing global competition for talent and capital.",2,62420_200601
"make the parliamentary budget officer an independent officer of parliament to provide oversight and advice on the government’s spending and surpluses, help mps do a better job for ordinary canadians and bring greater accountability to ottawa.",0,62320_200810
only by electing green members of parliament can we ensure canada can lead in these critical negotiations.,2,62110_201510
"in 1988, canada was actually in the lead in hosting the first-ever international scientific conference on climate change, “our changing atmosphere: implications for global security.”",0,62110_200810
"nonetheless, it is hard for people to translate the abstract description of a personal tax cut – based on marginal rate reductions, etc. – into a meaningful picture of dollars saved on one’s year-end tax bill.",2,62420_200601
while protecting the seat counts of other provinces.,0,62623_200810
"o) minimizes the effects of climate change by encouraging farming methods that increase carbon sequestration and decrease water requirements, with financial rewards through domestic carbon trading;",0,62110_200810
our conservative government established the partnership in 2006 and renewed our initial support in 2011.,1,62623_201510
"working with other nations to develop replacements, based on the principle of cohesive human security and organizations like the organisation for security and co-operation in europe (osce), to nato and norad to reflect all security challenges in a post-cold war world.",1,62320_200406
free software gives users the ability to work together enhancing and refining the programs they use.,1,62110_200810
debt interest payments were compounding unsustainably.,2,62420_200406
and help you balance your budget by putting a stop to consumer gouging.,1,62320_200810
"end the use and circulation of the canadian penny, increasing convenience for shoppers",1,62320_200810
"re-negotiate deals with the us and mexico whose principles are centred on fair trade and which remove offensive disciplines like national treatment, and undemocratic decision-making tribunals.",1,62110_200810
work to ensure the canadian coast guard has the appropriate tools to protect canadian sovereignty in the arctic.,0,62320_200810
"promoting biofuels, wind and other alternatives",0,62623_200810
putting more law enforcement officers on our streets.,2,62623_200406
and increase front-line personnel.,2,62623_200601
"almost 400,000 seniors have been removed from the tax rolls completely.",1,62623_201510
"a commitment to safe, tolerant communities in which racism, old world animosities and violence can have no part.",2,62420_200601
"as a major energy exporter to the us, canada should use that leverage to ensure fair treatment for all resource industries, particularly softwood lumber.",1,62320_200406
"paul martin and the liberals have: enacted the largest ever cuts to public health care, abandoned promises to reduce the patent length of prescription drugs and deleted a clause from the canada health act that protected vital home care services from privatization.",1,62320_200406
"without those requirements, the liberal tax cuts are nothing more than a windfall for big corporations and their executives.",2,62320_200601
we must demand better leadership in world affairs.,1,62623_200406
the challenge is presented by the huge increase in both the number and the sophistication of competitors.,2,62420_200601
– obligating lobbyists to file annually a declaration of their political work.,0,62320_200601
this would further concentrate the banking industry and reduce competition.,1,62110_200810
"the national cancer strategy will be supported by a new five-year investment of $300 million by the federal government and will have as key elements: – $125 million to support creation of the terry fox research institute in vancouver, a new centre of excellence for cancer research.",1,62420_200601
cases will be referred to a three-person independent expert panel.,0,62420_200406
the green party believes that canada must meet its commitment to allocate 0.7% of gdp to oda.,1,62110_200810
"in the last few years, quality of life, as measured in our ability to get ahead and enjoy more leisure time, has declined for 90 percent of canadians.",0,62110_200810
"in taking the lead on the montreal action plan, a liberal government will seek to strengthen the world’s resolve in addressing climate change,",1,62420_200601
"– $25 million to establish terry fox cancer research chairs at canadian universities to ensure that canada continues to attract and retain leading cancer researchers who can tap into leading-edge advances from around the world to enhance our understanding of cancer – its origins, diagnosis, treatment and eventually a cure.",1,62420_200601
"stephen harper has refused to step in to protect health care, refusing to meet with the premiers, allowing the health accord to expire, and making reckless unilateral cuts to health transfers that the provinces count on.",2,62320_201510
undertaking important reforms to help canada's first nations participate more fully in canada's economy.,0,62623_201510
"small businesses should be focused on creating jobs, not filling out paperwork.",0,62623_201510
"4. work with the provinces to develop long term strategies to better manage chronic diseases, such as diabetes, and lifelong medical disabilities and conditions, such as autism.",1,62320_200810
nuclear energy is inevitably linked to nuclear weapons proliferation.,1,62110_200810
we will also double funds for the automotive supplier innovation program over the course of our first mandate.,2,62320_201510
"today, not a single drug approved for export is in production.",1,62320_200601
"as a result of our conservative plan, the typical canadian family now has more than $6,600 in their pockets every year – real benefits, real relief, that they can count on.",2,62623_201510
that’s the second track: “five in five”.,1,62420_200406
"amending the current immigration laws, which currently bar most immigrants that would have been admitted during the trudeau era.",0,62320_200406
"together, we will attend the paris climate conference,",0,62420_201510
"a re-elected conservative government will continue to build on these initiatives with a focus on science,",0,62623_201510
"some provinces have worked to fill the void created by conservative neglect of health care, which followed years of liberal cuts and broken promises.",2,62320_201510
"while some of these grants and contracts are undoubtedly worthwhile, the liberal party has too often used these funds for their own benefit, not for the benefit of canadians.",0,62623_200406
and strengthening criminal provisions against stalking.,2,62420_200406
"the quicker we introduce a price across the economy, the quicker the economy can adjust and start to reduce emissions,",0,62420_200810
they didn’t.,2,62320_200810
"increasing the efficiency of our tax system,",0,62110_201510
"at the un and elsewhere, canada under a liberal government will press proactively to make a real difference – for example:",1,62420_200601
those found guilty of making child pornography and of internet-luring can be designated as “long-term offenders”.,2,62420_200406
and permit unregulated production by smaller and family farms that sell to local markets;,0,62110_200810
– support for export market promotion of canada’s agri-food products through our new can-trade international strategy.,2,62420_200601
"however, a world of universal freedom of religion remains elusive, and there is much work left to do.",2,62623_201510
* seek to have the regulations governing the practices of immigration consultants toughened and enforced and increase penalties in the criminal code for those convicted of human smuggling.,2,62110_200810
we take this same pragmatic and level-headed approach to the tough issues of criminal justice.,2,62110_200810
establish substantial new point-of-sale rebates on the purchase of energystar appliances.,0,62320_200810
this will make the world a better and safer place for everyone.,1,62110_200810
develop initiatives and alternative delivery methods to increase enrollment and success in post-secondary education.,1,62420_200406
"it accounts for about 11 percent of our gdp, 61 percent of canadian exports, and provides good, secure jobs to almost 1.7 million canadians across the country.",0,62623_201510
"the projection takes into account, for example, substantial explicit commitments to increase health and social transfers to provinces",0,62420_200406
"in 1995, paul martin slashed health care funding, ripping some $25 billion out of health care over the next four years.",1,62623_200406
"provide training for security guards and first responders such as police officers, ambulance attendants and firefighters.",0,62320_200601
and its limitless promise is our future.,2,62623_201510
"a re-elected conservative government led by stephen harper will make sure that canada secures its strategic resources,",2,62623_200810
"for example, as a significant employer across canada, the government has a duty to ensure that civil servants and federal contractors are paid the wages they have earned in a timely manner.",1,62320_201510
these can be key building blocks in a renewed federal leadership in health promotion.,0,62110_200810
"otherwise, we will exhaust resources,",0,62110_200810
"good government provides long-term stability, security from threats both domestic and abroad, and a vision that stretches well beyond fouryear election cycles.",1,62110_201510
"because any parent should be able to choose to stay at home with young children, or equally, be supported through high-quality child care if they wish to remain in the workforce, we advocate a range of programmes.",1,62110_200810
canada needs to harness their talent and energy.,0,62420_200601
"* within the on-going forest accord process and in partnership with the provincial and territorial governments who have primary jurisdiction, shift all economic forests to eco-forestry practices, including certification by the forest stewardship council (fsc).",0,62110_200810
fewer employees work for one employer long enough to earn a pension.,1,62320_200601
it is important that the sentences fit the severity of the crimes.,2,62110_200810
"those who choose to make canada their new home bring with them their unique cultures, languages, and an entrepreneurial spirit that strengthens our economy.",0,62420_201510
"she wrote that government policies have been contributing to “the ominous signs of decay” eroding family, community and education.",2,62110_200810
we'll work with the government of quebec to fulfill this promise.,0,62623_201510
"and promote the use of alternative, sustainable, clean sources of energy by implementing the ndp kyoto plan.",0,62320_200601
"beyond these specific initiatives designed for aboriginal canadians, many of the other priorities of a liberal government will bring benefits to aboriginal people as well, and in many cases were designed with their impact on aboriginal canadians in mind.",0,62420_200406
we will not allow special interests to prevent immigrants from contributing their best to canadian society.,0,62623_200406
and will increase the size of the canadian rangers.,2,62420_201510
"tripling funding for settlement services, like free language classes and job search skills.",0,62623_201510
we will renew canada's commitment to peacekeeping operations.,1,62420_201510
establishing and expanding the recreational fisheries conservation partnerships program to conserve and protect canada's recreational fisheries.,0,62623_201510
"it poses an obvious danger to law-abiding canadians, but the damage is even further-reaching.",2,62623_201510
so much for paul martin’s concern about the “democratic deficit.”,1,62320_200601
less than 10% of youth aged 5 to 17 are getting the recommended 60 minutes of physical activity each day.,0,62320_201510
the march 2004 report of a bipartisan senate committee concluded canada was “unready” to respond to a terrorist attack.,2,62623_200601
we think this idea has merit.,2,62623_201510
"and we will address the non-standard employment relationships like part-time, contract, and temporary work and variable schedules.",1,62320_200810
one important step is ensuring high-quality affordable child care.,1,62110_201510
"improve access to capital through innovative financing vehicles, including venture capital funds.",2,62420_200406
"we're: making historic investments in community infrastructure, to support economic development and local recreation and activities.",0,62623_201510
"eliminating paul martin’s head tax on immigrants, effectively regulating and enforcing tighter rules on private immigration consultants and their fees.",2,62320_200406
– working with farmers to ensure the right to save and reuse seed.,0,62320_200601
canada cannot afford to maintain a colonial system that seeks only to keep communities in dependency and denies more than a million people the opportunity to contribute to their own well-being and canada’s prosperity.,1,62320_200601
and fees for the purchase of inefficient vehicles.,0,62110_200810
but jail time for the perpetrator doesn't make the victims financially whole again.,2,62623_201510
"we will: restart a 10-year national housing program to build 200,000 affordable and co-op housing units(including homes for aboriginal people, seniors, people with disabilities and students), renovate 100,000 existing units, and provide rent supplements to 40,000 low-income tenants, many of whom are single mothers who pay a large percentage of their income in rent.",1,62320_200601
– including the growing trend of allowing provinces to enter into public/private health care partnerships,1,62320_200601
"canada needs to work closely with our military allies, within nato, and with the united nations to address these international security threats.",2,62623_200406
a conservative government will also revisit the equalization formula.,0,62623_200406
"crumbling bridges, aging and insufficient transit, nonexistent rail infrastructure – these problems are no longer rarities, they have become the norm.",0,62110_201510
"when middle class canadians have more money in their pockets to save, invest, and grow the economy, we all benefit.",0,62420_201510
and that this will be the last unfair election canadians participate in.,1,62320_201510
the registry will include mandatory dna sampling of all those convicted or currently in custody on such offences,2,62623_200810
our “tax lock” legislation will prohibit income and sales tax rate increases and discretionary payroll tax hikes on canadian businesses and workers for the next four years.,2,62623_201510
"paul martin and the liberal government have long talked a good game on the environment, but delivered little.",2,62623_200406
"the ndp will also strengthen disaster relief financial assistance arrangements with provinces,",0,62320_201510
this area has potential for significant job growth.,0,62320_200601
"however, even after the deficit was gone, the liberals kept the extra tax.",2,62623_200406
households where one partner is in a higher tax bracket than the other will end up paying less tax when they are allowed to income split on their tax return.,0,62110_200810
"canada’s agricultural producers have been facing a difficult combination of disease outbreaks, trade impediments, unusually poor growing conditions, rising input costs, and weak commodity prices.",0,62420_200601
"to ensure stability for supply-managed farmers through the implementation of our trade agreements, we've established long-term income and quota guarantee programs.",0,62623_201510
"work with partners for peace and justice in israel and palestine, within a framework of respect for un resolutions and international law.",1,62320_200810
"and second, because the post-war baby boom is about to hit retirement age.",0,62420_200601
and asia – already a technological and export powerhouse – is poised to be the global growth leader for decades to come as china and india become economic juggernauts.,1,62420_200601
"fully phasing in over four years a tax shifting regime to transform incentive, subsidy and investment programs to focus upon green and co-generated energy, including wind power, solar energy, tidal power, biofuels, and energy efficiency as well as transitional technologies such as combined heat-and-power and community energy systems, rather than those that contribute to climate change such as fossil fuels or that produce toxic residue such as nuclear power.",0,62320_200406
"it is appalling that in a country as wealthy as canada, our children do not have guaranteed no-cost access to high quality dental care.",1,62110_201510
"as is currently the case with farms and small businesses, this inter-generational transfer will not be subject to a maximum limit.",0,62420_200601
– work with communities and workers to foster the development of a viable and sustainable economic base.,0,62320_200601
canadians must demand better relationships with our friends and allies.,0,62623_200406
"continue to ensure that all new canadians have access to the “core” immigration system,",0,62320_200810
"canadians whose livelihoods are, in many cases, inextricably linked to the sustainability of our conservation efforts.",1,62623_201510
we will restore canada's reputation,2,62420_201510
"this means that these families will now receive a matching grant of $4 for every $1 contributed, on the first $500 they contribute each year.",1,62623_201510
"we raised the ceiling on student loans, established grants to first-year students of modest means and created and funded a learning bond to help low-income families save for college or university.",1,62420_200406
"for those who enter the world of court-resolved divorce and child care disputes, years of unhappiness can follow.",0,62110_200810
"we will start with the services hardest hit by years of cuts by stephen harper: employment insurance, veterans' services, immigration, and ei and cpp appeals.",0,62420_201510
it's no exaggeration to say that the family farm is the foundation of the canada we love today.,0,62623_201510
"and improve opportunities in post-secondary education by negotiating with provinces and territories improved, dedicated funding to support and enrich publicly funded and administered post-secondary institutions.",0,62320_200810
"we will protect good, middle class jobs in the automotive sector by: improving financial incentives for automakers and parts suppliers.",2,62320_201510
while we are calling for 80 percent reductions below 1990 levels by 2050.,0,62110_201510
"non-profit and co-operative homes for families and single individuals, including students.",1,62320_200810
the ndp will diversify our economic landscape by: ensuring canada's natural resources are used sustainably to create good value-added jobs.,0,62320_201510
"we will put a renewed focus on surveillance and control of canadian territory and approaches, particularly our arctic regions,",2,62420_201510
a number of shortcomings have been identified in the existing program.,1,62420_200601
"– include, as a priority area in new labour market partnership agreements with provinces and territories, workplace-based skills development for persons with disabilities.",1,62420_200601
"too many canadian industries are under concerted attack from other governments, which is harming businesses, communities and workers that play by trade rules.",1,62320_200406
these initiatives will not only promote new jobs and skills development,0,62420_200601
"increased promotion of basic and applied research, especially in science and technology, is an essential component of canada’s future economic well-being.",0,62623_200601
the expiry of patents for a number of commonly prescribed drugs in the near future presents a great opportunity for government to step in and help provide far less expensive generic drugs.,1,62110_200810
a conservative government led by stephen harper will eliminate the gst portion of gas prices above 85 cents.,1,62623_200406
and ensure that canada retains its charter position on limiting property rights.,1,62110_200810
canada and the united states have the world’s largest trading relationship.,0,62623_200406
"and strengthen our immigration system to build strong communities that serve the needs of all canadians, not just the interests of a privileged few.",0,62623_200601
"the green party believes it is the right of every canadian to have affordable, safe and secure housing.",0,62110_200810
"lower taxes – the fiscal turnaround has yielded a big, ongoing dividend for canadians in the form of lower taxes.",2,62420_200406
"behind a mask of new, politically expedient rhetoric he has unveiled a climate change plan that has been rejected by every expert group that has reviewed it across the entire political spectrum.",0,62420_200810
yet previous governments failed canadians when it came to negotiating trade access for canadian products.,2,62623_201510
"canada has the ideas and the financial freedom to enact them, and it’s time we elected mps who agree.",2,62320_200406
we will cut taxes for manufacturing firms investing in canada by extending the accelerated capital cost allowance to improve economic growth and help the manufacturing sector take advantage of export opportunities.,2,62320_201510
"you will find people with impressive resumes – whether in science, law, academia, teaching, public policy, small business, the arts, journalism, first nations leadership, municipal government, community organizing and volunteerism, and medicine.",2,62110_201510
"to help families make better food choices, we will: introduce new restrictions on the commercial marketing of unhealthy food and beverages to children, similar to those now in place in quebec;",1,62420_201510
it is time for a genuine commitment to be made and fulfilled.,0,62320_200601
canadians live in an immensely successful country.,2,62420_200601
"legislative accomplishments – since taking office in december, 2003, the government has passed or introduced 36 bills in parliament, some highlights of which are summarized below. [highlights of the government’s legislative agenda (table)]",2,62420_200406
new support for small business – a new liberal government will continue to strengthen support for small business.,1,62420_200601
"national security – immediately upon taking office in december, 2003, prime minister martin created a new department of public safety and emergency preparedness, appointed a national security advisor to the prime minister and established a cabinet committee on security, public health and emergencies, as well as the new canada border services agency.",2,62420_200406
"canada and canadians not just abroad, but at home, that is when we most need moral clarity and tough leadership.",2,62623_201510
"we will implement a national pharmacare plan that, through the advantage of bulk buying, will actually save canadians $11 billion each year.",1,62110_201510
that’s a big part of what canada is about.,2,62420_200406
the panel would assess whether there has been a breach of the act and would recommend appropriate penalties to the federal minister of health for a final decision.,0,62420_200406
a conservative government led by stephen harper will: work with provinces to build on the 2003 health accord on health renewal.,1,62623_200406
"if the resolution is passed, the government will introduce legislation to restore the traditional definition of marriage",2,62623_200601
"in today's economy, ongoing training and lifelong learning are essential in helping canadians find jobs and advance in the workplace.",0,62320_200601
"you want to know that your family can access the care they need close to home, and when they need it most.",1,62320_201510
a re-elected conservative government led by stephen harper will replace the automatic release of prisoners after serving two-thirds of their sentence with earned parole for behaviour and rehabilitation in prison.,2,62623_200810
"* fully implement the recommendations of the 1996 report of the royal commission on aboriginal peoples, thereby embarking on true nation-to-nation negotiations on a full range of outstanding legal issues and land claims.",0,62110_200810
canadian citizens who violate the law go to jail.,0,62110_201510
"canada, as a northern country with numerous coastal cities, is particularly vulnerable to the effects of climate change.",0,62420_200810
"increase access to employment insurance for women,",0,62320_200810
and supporting municipalities in legal battles with chemical corporations after attempting to limit pesticide use in their community.,0,62320_200406
"throwing more money to the provinces, as the federal government has been doing in the last two governments, is not achieving concrete results.",1,62110_200810
and support for cancer patients and survivors.,1,62623_201510
negotiate changes to nafta’s dispute resolution mechanisms so canadian interests are respected—including through the application of international law rather than us law in anti-dumping and subsidy disputes.,1,62320_200810
ending low-level nato flight-testing over innu lands.,1,62320_200406
"the world has been waiting nearly a decade for canada to step up in these ways, and the ndp will do so.",1,62320_201510
"a re-elected conservative government will establish a financial task force of foreign policy experts and financial analysts to perform this task, ensuring that our sanctions regime maintains its rigor and limits russian influence in the global economy.",1,62623_201510
ensure fairness in party nomination and leadership races.,1,62623_200406
"these projections were based on independent, expert advice from canada's leading private-sector economists, and include contingencies of up to $3 billion per year to account for the current global economic uncertainty.",2,62623_201510
the tourism sector in canada is unique in that it makes a significant contribution to every region’s cultural and economic well-being.,2,62110_200810
stephen harper has used prorogation to avoid difficult political circumstances.,2,62420_201510
an easily accessible and integrated system for business development and growth must be made available in smaller cities and towns to create the business climate that will entice home-grown entrepreneurs to stay.,0,62110_200810
"we will make it easier for immigrants to build successful lives in canada, and contribute to the economic success of all canadians.",0,62420_201510
increase the power of individual members of parliament.,2,62623_200406
"it's becoming more skilled, more specialized, and more globally competitive.",0,62623_201510
"in the last few years, despite rhetoric about “safety nets”, the federal government has refused to issue emergency orders to protect critical habitat on non-federal lands.",0,62110_200810
"a re-elected conservative government will commit to supporting mp weston's bill, and also set aside funds to cover one third of the cost of removing priority derelict vessels.",2,62623_201510
"since wind energy generates power 30% of the time, solar 20% of the time, and other renewables 30 – 50% of the time, the planned capacities from renewables need to be larger than capacities from firm power generation.",0,62110_200810
"a strong mandate from voters will help ensure that all those at the negotiating table understand that canadians want their elected representatives to sit down, talk it out and emerge with a fix for a generation.",2,62420_200406
"election laws in canada govern election campaigns, but leave parties almost unregulated in their internal leadership and candidate selection processes, despite the fact parties receive millions of dollars in subsidies from taxpayers.",2,62623_200406
"place a four-year minimum sentence on all weapon offences, such as “possession of a concealed weapon”.",2,62320_200601
"reduced taxes for more efficient company cars, instead of a blanket benefit.",0,62110_200810
the agreements identify principles and goals for early learning and child care;,1,62420_200601
and align our sanctions regime with our broader values.,0,62623_201510
invest more in fisheries science and research.,0,62623_200601
reviewing and reworking existing federal programs to improve small business access to venture capital.,1,62320_200406
"the table also shows that, while it is true that there will be an increased cost to fossil fuels due to the green shift over four years, these are far-outweighed by cost increases that have occurred due to market factors alone since 2006.",0,62420_200810
"and in july 2005, canada signed an important international protocol to the convention on cybercrime, which encourages greater cooperation to fight racism and hate-motivated crimes committed through the internet.",1,62420_200601
provided $500 million to promote africa’s development within an additional $1.4 billion over three years for international assistance (budget 2003).,1,62420_200406
a conservative government led by stephen harper will commit one percent of federal health funding to the funding of physical activity.,1,62623_200406
the benefit will be paid monthly and included as part of the child tax benefit.,1,62420_200810
the importance of agriculture to our national interest can't be overstated.,0,62623_201510
"experts agree we need a pro-active plan to keep our country, our industries, and our workforce in a leading global position.",2,62320_200810
"three million canadians, about 8.4 % of the country's population, and one in eight children suffer from asthma and the numbers are increasing rapidly.",1,62110_200810
judicial appointments would be measured against public criteria.,0,62320_200601
most people are having a harder time providing for their families and paying for a decent place to live.,1,62110_200810
aboriginal employment levels to equal those of non-aboriginals.,0,62420_200406
"at the same time, our recent frustrations with softwood lumber and bse have shown how important it is for canada to develop other options as well.",2,62420_200601
"invest $100 million per year of new federal money on criminal justice priorities, including working with the provinces and municipalities to hire more police, as well as victim assistance and youth crime prevention programs.",2,62623_200601
"for example, in our natural resource industries, a labour shortage looms and highly trained and skilled aboriginal canadians are an important part of the solution.",0,62623_201510
"as high energy costs and turbulence in international financial markets have taken their toll on the world economy, canadians have become increasingly concerned about the rising cost of living and threats to our quality of life.",2,62623_200810
canada's role in the world in the past 10 years has become one where we lecture foreign governments at the united nations and stymie progress to tackle climate change.,2,62320_201510
and a national indigenous languages institute with a total new investment of $68 million over four years.,0,62320_201510
"enact new migratory bird regulations to establish a family hunting permit and remove other unnecessary barriers and irritants to hunters, in time for the 2017 hunting season.",0,62623_201510
extending canada’s commitment to development assistance– the international community has united around the common objective of poverty reduction.,1,62420_200601
