text,left_right
"fine gael will introduce a suicide prevention strategy,",1
"today, radio free europe/radio liberty and radio/tv marti do the same in other lands where freedom is unknown or endangered.",0
"upgrade between hobart and launceston, to improve safety and freight delivery.",0
"upgraded cabling in one-third of schools, so they are ready for ultra-fast broadband.",1
streamlined the immigration system through the roll out of the immigration online service,0
good luck in making your decision.,1
this affects educational and employment prospects as well as social interactions.,0
as well as their rights of conscience when they are harassed or denied a job because of their contributions to a candidate or a cause.,2
"in addition, it is why we demand tough penalties for those who practice identity theft, deal in fraudulent documents, and traffic in human beings.",2
we respect their right and that of the people of palau to decide freely their future relationship with the united states and to be consulted on issues and policies that directly affect them.,0
"at the same time, we strongly support family planning and adoption incentives.",2
"we will invest over £1 billion to modernise the prison estate, replacing the most dilapidated prisons and creating 10,000 modern prison places.",2
we reject any dynastic succession of power within the castro family,1
"research, promote and support farming methods that reduce greenhouse gas emissions,",0
"high-quality childcare for working families, supported by thousands of new nursery places a year.",1
"prioritise a policy intervention that support land reform which redistributes the land to dispossessed and landless people,",0
"under the plan towns with a population of 1,500 or more could apply via their local authorities for funding to facilitate provision of the following community services where they are currently not in place, under construction or in an advanced state of planning.",0
national will invest a further $155.7 million over four years in early childhood education to help give all children a great start in life and target areas where participation is low.,1
republicans continue to support american military superiority which has been the cornerstone of a strategy that seeks to deter aggression,2
"$21 million a year to extend free gp visits to the 290,000 teenagers aged 13-17 and abolish their prescription charges, so they get the help they need at a crucial time in their lives.",1
"we will ensure that big and small businesses get a ‘fair-go’ and do the right thing by each other in their respective marketplaces, delivering real and lasting benefits to consumers.",2
and travellers to register at an address convenient to them;,0
"new zealand could further focus on specific and foster niches for example in health care, agricultural or marine 3d printed products.",0
australia can provide a more economically robust and humane alternative to the live export trade by boosting boxed meat exports.,2
the dairy sector recognises this too.,0
we have restored the integrity of australia’s borders and have stopped the deaths at sea.,0
"we must defeat isis, al qaeda, and their affiliates, and prevent other groups from emerging in their place.",2
"this partly reflects the way stem subjects are taught, but it also happens because our teachers aren’t properly supported to engage young peoples’ natural curiosity.",0
the idea in a nutshell is this.,2
pigmeat: we are providing support for on-farm investment through tams 11.,0
"over-militarize our policy,",1
in five consecutive budgets fine gael and labour chose to be regressive in the impact of its budgetary measures.,0
"raise the amount people can earn before losing carer’s allowance from £1 10 to £1 50 a week,",1
people and their families are better off in work.,2
the alliance would combine housing nz and housing corp into the housing corporation of new zealand (hcnz).,0
these efforts have raised the profile of new zealand exports and assisted our exporters in these markets.,0
the legislation will have a robust inspection and reporting regime.,0
"if a person seeking entry into australia was allowed to board a plane for $800 to fly to one of our airports such as sydney or brisbane they wouldn’t need to pay the people smugglers up to $20,000 for illegal entry to australia.",0
"implement a gender transformative approach across all our international work,",0
we will continue to care for workers by ensuring safe and healthy workplaces and practices,1
health;,1
and threats such as climate change,0
"the need to address long-term problems, such as climate change, is an overarching value of the green party.",0
provide a well funded rural enterprise policy to focus on a broad spectrum of rural enterprise with a special emphasis on artisan and small food production.,0
or have their driver's licenses revoked for unpaid tickets or simple violations.,2
but only sinn féin has a credible plan to establish healthcare,2
i have a message for our dedicated and talented candidates who are part of the team i hope to lead into government.,2
vote dup!,2
as well as contributing to climatechange commitments.,0
"similarly, small business is increasingly besieged by the regulatory systems of government which are really targeting big business and indifferently catching small business in the crossfire.",0
"the powers not delegated to the united states by the constitution, nor prohibited by it to the states, are reserved to the states respectively, or to the people.",0
"we believe it makes sense to provide ece onsite at schools and that evidence shows that this, rather than sanctions, will increase participation in ece.",1
"continue to look at ways to encourage high value tourism, international students, and business visitors to new zealand through sensible immigration policies.",0
"labor will start delivering our plan for australian metals manufacturing and jobs within 100 days of forming office, with the establishment of the metals manufacturing innovation council.",2
we urge that electronic voting systems have a voter-verified paper audit trail.,1
growing the number and success rate of small businesses is the key to reducing unemployment and,1
2 500 of which will be reserved for women and the youth.,0
we are determined to eradicate child poverty,0
new irish food businesses will be developed through a series of coordinated efforts across the food sector and state agencies.,2
northern ireland has lost out as the result of a deeply unbalanced economy within the uk,0
"we are committed to ensuring that local communities are sustained with fair access to services, a sense of inclusion and the security of a safe environment.",0
"we recognize that guam is a strategically vital u.s. territory, an american fortress in the western pacific.",0
the green party will build on the previous labour-led government's successful policy of free healthcare for children aged 0-6.,1
increased annual home support services by $46 million since 2008.,1
- put the anchor projects at risk and put taxpayers up for an unknown expense through a wholesale review of the cost sharig agreement with the christchurch city council.,2
introduced electricity market reforms in 2010 to slow down the runaway price rises seen during labour's term in office and put a stop to dry-year emergencies where consumers had been asked to switch off their lights and conserve power.,1
successive labour governments have invested in government home-building programmes so families have a decent place to live.,1
in all local authorities.,0
"john kerry, john edwards and the democrats will keep faith with our veterans.",0
"o enterprise ireland will also support 85 high potential start-up companies next year, rising to 100 by 2015.",2
playing by the rules,1
minister harney introduced regulatory arrangements for twelve health care professions for the first time which includes a health and social care professionals’ council with a lay majority.,1
and the fastest growing economy in the g7.,0
"since 2008, there has been:3,700 prisoners having access to treatment for their addictions in 2013/14, up from just 234 in 2007/08",1
this administration’s cruelty and dehumanization of immigrants stretches the imagination and shocks the conscience:,0
the only planet with liquid water at its surface.,0
we are on track to have all older people receiving home support or in aged residential care assessed at least twice a year using the standardised clinical assessment tool interrai.,1
support global negotiations towards integrated sustainable tropical and temperate forestry,0
"worked with industry training organisations to help women break into male-dominated trades,",0
that is why an elected shorten labor government will strengthen the budget over the medium term through a fairer tax system and reducing tax concessions like negative gearing and capital gains.,0
reduce the rate of māori over-imprisonment by 30% by 2027,2
"the above proposals would save tens of thousands in terms of the cost of buying a first property, making it much easier for first-time buyers to enter the housing market.",0
the end point of constitutional change for this island north and south is now for the people to determine through a referendum on irish unity.,0
"strong, stable, united, loving families is still the most prized asset that this nation has.",2
the rich are getting richer whilst everyone else struggles to make ends meet.,0
support provisions to deduct unpaid restitution and court fines through the ird or income support.,2
"moreover, research from the australia institute comparing company tax rates and education spending across oecd economies has demonstrated that there is no correlation between company tax rates and gdp per person, while there is a strong correlation between increased education spending and higher gdp per person.",1
our voice would not be heard in climate change negotiations,0
labor will lower the minimum level of investment required for entry into the esvclp program from $10 million to $5 million to facilitate increased funding from angel investors.,2
that is why fine gael will abolish the €3 travel tax subject to a deal being agreed with ryanair and aer lingus to re-open closed routes and bring more tourists into ireland.,2
and maximise the use of valuable facilities and expertise in both jurisdictions.,0
this is especially important when the causes and longrange effects of a phenomenon are uncertain.,0
"in addition, our hard-won constitutional freedoms, which are the bedrock of our democracy, have never been under more threat.",2
"unleashing small businesses from the constraints of crippling laws, regulations and taxes.",2
"wellness and healthy eating programmes: fine gael recognises the growing problem of childhood obesity and supports all schools and pre-schools in developing an integrated wellness policy, which will include healthy eating and cardiovascular fitness.",1
policy certainty and,0
"as part of this, we will facilitate grid access for small-scale renewable energy projects.",0
the conservatives have completely failed to show any leadership on this issue.,2
"we have already helped small businesses by increasing the annual investment allowance,",2
establish a steering committee of top ofﬁcials which will intervene to help entities who have received a qualiﬁed or adverse audit opinion from the auditor-general three times in a row.,0
the national electricity grid will be strengthened in the west and north-west,0
"we need to improve domestic readiness so people on the frontlines have the training and equipment to respond to any attack with all the speed, skill, and strength required.",2
"new services such as the national educational psychological service, the national educational welfare board and the behavioural support service have been set up and are being expanded.",1
"australia can be a great place to live, but the cost of buying or renting a home has become extreme.",0
brexit therefore risks loss of existing rights to access health care and educational opportunities.,0
"on all other issues not covered by party policy, an mp's first duty is to the electorate and the nation.",1
investigate the viability of writing off student loans for students who work in a job equivalent to their qualification for more than five years,1
they have the necessary capital and human resources to adopt technological innovations rapidly as they occur.,2
"steady growth of this order will generate 200,000 additional jobs by 2020, replacing all the jobs lost during the recession with new jobs and ensuring that everybody who wants a job will be able to get one.",0
introducing a sunset clause into the employment equity act.,0
as a result we have increases in spending on health by 33%,1
- and to make these our top priorities.,2
"republicans applaud president bush and the republican congress for honoring our nation's promises to the people of taiwan, a longstanding friend of the united states and a genuine democracy.",0
and make votes of more equal value.,1
this would follow the example of the university of glasgow.,0
"over the long term we will take steps to replace the current unjust, out-of¬date system with a land value tax (lvt), designed to redistribute wealth",0
"the way they are run has a huge effect on our lives, yet their workers, customers and suppliers have no say in them.",1
the presence in australia of people of many cultural backgrounds greatly enriches our society and should be celebrated.,0
"snp mps spoke in an average 61 debates in 2015-16, compared to 27 for their predecessors in 2014-15.",2
"we will continue to promote and implement marine policy that protects and promotes the sector,",0
this means an average family on the central coast with two children will be more than $400 better off under labor.,1
"from community leadership to volunteer management to bilingual engagement, these skills are vital to support new migrants settle into society and the labour market.",0
a shorten labor government will invest in a range of community projects to improve quality of life for the people of south australia.,0
a crisis this deep didn’t happen overnight and it won’t be solved overnight.,0
"as a first step towards developing awareness, government agencies will have to measure how much of their current ict spend is going to local companies and report on it.",1
trawl nets are made from heavier duty materials and are pulled through the water behind a boat.,0
" the high cost of illness is felt at every level, personally, in families, in lost productivity, in communities and in government expenditure.",1
why?,0
and culturally appropriate.,0
including a chapter on the rights of victims of crime in the criminal procedures act,2
"ensure that all spheres of government are obliged by law to work consistently to create a climate of tolerance for different points of view, and the active involvement of the people in determining all elements of their future;",1
"we will legislate for the display of prices for both branded and generic drugs in pharmacies at the point of purchase to allow consumers to make ready choices,",1
"various regulatory institutions help to enforce good business practices, protect consumers and create a stable economic environment.",1
snp mps will call for a freeze in further ipt tax hikes.,1
"this is an honest and transparent approach to fiscal policy, and also recognises that, two years on, tony abbott’s 2014 budget remains a failure.",2
"new zealand first’s fishing policy aims to sustainably manage all aspects of saltwater fishing,",0
we will: ensure that spending on mental health care rises within our overall commitment to increase real spending on health.,1
resettling the interpreters who supported our troops in afghanistan before new zealand's withdrawal.,0
"improvements in productivity, development of new technologies and new investment has the potential to create over 150,000 new jobs, even with the china resource investment boom winding down.",0
"under our fiscal plan, the mto will be achieved by 2018.",2
we therefore support an increase in the mandatory schooling age to 17.,1
plaid cymru has opposed plans to cut workers’ rights that would make it easier for bad bosses to fire staff.,1
and ensured fitness to practice hearings are held in public normally.,0
the national government's weakening of the emissions trading scheme and its renewed emphasis on oil and gas exploration has delayed the necessary transition our economy needs to make to achieve a low carbon/stable climate future.,0
the nationals insist that all levels of government must commit to funding tourist promotion and that the federal government should play a leading role,2
dedicated service personnel are at the heart of our defence policy.,2
"national has taken significant steps to ensure we have a sufficiently rigorous system for managing freshwater quality,",0
several government departments oversee different schemes providing help with childcare costs.,1
our borders are full of holes.,2
push at eu level for a review of price intervention tools in the dairy sector and other effected areas.,0
2. restore a strong carbon price signal through our climate protection plan.,0
this system is found in many countries including germany and involves using a national list of candidates from which representatives will be elected to balance underrepresentation which would emerge in the constituencies.,0
"free trade is vital to our future – exports now account for more than $70b of our national income, and more than 620,000 new zealanders depend on exports for their jobs",2
provides proper regional structures and integration into a national framework.,0
"as a result of tory cuts, people across the uk are being pushed into debt, hardship and poverty.",1
we will seek to ensure overseas aid funding meets the internationally-recognised development assistance criteria and does not undermine public services in developing countries.,1
we will also invest in more mountain bikes so gardaf can be visible and mobile in urban areas.,2
national will ensure front-line police spend less time on paperwork,0
"a sound strategic plan will recognise the right to farm and include measures to manage the spread of population growth, including the protection of prime agricultural land from urban encroachment.",0
"in consultation with farmers and fishermen, rural businesses, rural communities and their representative organisations.",0
"in response to the severe housing shortages affecting large parts of the country, it is imperative that the government take direct action to rectify the situation, rather than counting on small market interventions to solve the problem.",1
"there will, per usual, be transition arrangements for those approaching retirement.",2
nationalism and authoritarianism are on the rise in countries across the globe.,1
iwi provide a particular cultural and social outlook that is much needed in the housing sector.,0
"investigate opportunities to limit the growing concentration of nanotechnology intellectual property rights, especially in applications where knowledge is utilised for food production, or in humanitarian purposes (eg healthcare, water treatment).",1
we recognise the potential to grow the output value of this sector to over €500m in the medium term and will deliver on the actions in the food wise strategy to achieve this target.,0
"the outlook is more positive now than at any point over the past three years,",2
a good education is vital to achieving personal fulfillment and economic prosperity.,1
"in order to control public spending and reduce taxes over time, ukip will give the relevant commons select committee the power to veto items of spending, but not increase them.",1
valuing volunteering: budget 2017 provided a $2m boost over four years to the volunteering sector,2
"we will also ensure that the skills needed in a green, sustainable economy are part of education and training programmes for young people, as happens in australia. 22",1
"running foodbanks,",2
"and we will build and train new forces equipped with the most-sophisticated technology to specialize in finding, securing, and destroying weapons of mass destruction and the facilities that build them.",2
"however, the focus of such reforms should not only focus on budgetary and monetary constraints.",1
labour's appalling economic management doubled nz's debt from $20 billion to over $40 billion between 1984 and 1990.,2
"democrats will develop a national strategy, coordinated across all levels of government, to combat poverty.",0
"for the sake of lowincome families as well as the taxpayers, the federal government’s entire system of public assistance should be reformed to ensure that it promotes work.",2
"we will continue to replace lower-level, classroom-based further education courses with high-quality apprenticeships that combine training with experience of work and a wage.",0
"the nationals recognise that grandparents are increasingly required to assume a greater role in supporting grandchildren, which places an emotional and financial strain on them.",0
we are building the world-class infrastructure of the future like the national broadband network to build the businesses of tomorrow,0
• there is neutrality and impartiality in the question.,1
"give priority to the preventive elements of the 2001 act and to the investment of resources in community and statutory services necessary to support these measures, including adequate staffing of the social welfare service.",0
an information use charge will be imposed on offshore operators taking bets on new zealand racing and sporting events,0
we will introduce a special pension incentive account (spia) where the state will contribute €1 for every €2 contributed by the individual.,2
"however, while a small elite in south africa is well protected in comfortable jobs, millions of others face a lifetime of futile searching for productive employment.",0
it is time to shut down the weapons bazaars in our cities.,2
77. the eff government will establish a digital library which will buy the rights to every academic publication that has ever been published so that all students can access them free of charge.,1
these include: $80 million for the northern adelaide irrigation scheme.,0
 encourage the promotion and strengthening of democracy throughout the international community;,1
committed to improving our water quality and invested a record $400m to do so,0
businesses moving from wales,0
"the system will provide all the electricity required by the school over the course of a year, and in summer, excess will be exported to the grid and consumed by homes near the school.",0
• retain ownership of new zealand post.,1
"the construction of a cruise ship terminal on the auckland waterfront was high on national’s agenda as facilities were being prepared for the rugby world cup, and a key factor in our decision to part purchase queens wharf.",0
increase funding and provision of buses in rural areas,0
"australia needs long-term investment in public transport and active travel (e.g. bike paths) to reduce traffic congestion, greenhouse gas emissions, and make our major cities more liveable.",0
"our plan to implement modern trams, trains and electric buses will make getting around easier, faster and more attractive with buses and trains leaving every few minutes throughout the day.",0
"however, this scheme is underused by families, and overly complex.",1
"require energy-dense foods, such as crisps, to carry a health warning",1
"during negotiations, we commit ourselves to use our strength in parliament to press for keeping britain as close as possible to europe.",0
"many good civil servants work at the irs, but the agency itself is toxic.",0
develop greater support for emerging and small-scale farmers;,0
we’ll build on our success in forging new relationships and trade groupings to help our exporters be even more successful.,0
the strategic regional program is now being spent in the capital cities and 82 per cent of that funding is going to labor seats.,2
"responsive developmental state, and",1
"most were forced to take out an annuity, paid out evenly, over the course of their retirement.",1
we will make sure our broadband speeds are among the fastest in the developed world.,0
comreg will be mandated to continue to lower the price of localloop unbundling.,1
the common fisheries policy has devastated fish stocks around our coastline.,0
"ultimately it’s about consumer choice so we will make sure the settings are right so that consumers can get the energy they want in the way they want it – whether from the grid, or a solar tiled roof on their neighbour’s house",1
"ensuring more competition and transparency in the electricity market, through initiatives such as what's my number.",1
"republicans hail their historic achievements since september 11, 2001 - especially the removal of the repressive regimes of the taliban and saddam hussein.",2
"• continue to promote an independent judicial commission to recommend the appointment of judges, oversee the administration of the courts, provide training for judges, and process and report on complaints.",1
"our vision is for a world which is peaceful, secure, prosperous, democratic and socially just.",2
"we will cut emissions as cost-effectively as possible,",0
"outsourcing, with companies cutting corners to win contracts;",1
"to drive innovation and initiative in tackling crime, thereby achieving results.",2
"you cannot, in the present climate, have these and tax cuts as well.",0
"the nationals will introduce legislation to make it mandatory for all ships in australian waters to carry a satellite transponder, so that their position is continually monitored.",0
unions must help train their members.,1
"they’re why we helped american families who are working multiple jobs and struggling to pay the bills save a little extra money through tax cuts, lower health care costs, and affordable student loans.",2
"and will put in place a structure whereby technical evidence, particularly search warrants, are presumed to be valid unless contradictory evidence can be produced.",2
— patients a decade hence will have care and treatment that will make much of today's medicine look primitive.,0
- increase access to the arts.,0
these are:increase the amount of time mental health workers spend with patients.,1
"at this election, we repeat our commitment to pensioners – we honour your lifetime of work by ensuring that you share fairly in the nation’s rising prosperity, and are committed to tackling pensioner poverty.",0
"not only will this protect the environment, this will help safeguard new zealanders' health.",0
"this new funding will include a focus on areas such as hernia, gallstone and vein conditions.",1
"the drought, global economic downturn and ﬂoods have masked a critical workforce shortage across regional australia",0
"we will introduce a financial transaction tax on financial transactions and legislation similar to the communities reinvestment act in the usa to ensure that appropriate credit is available to individuals and businesses, wherever they are based.",1
we are bound by a shared set of ideals and values rooted in the notion that we are greater together;,2
"the centre will develop, trial, evaluate and implement new payment and service delivery models that aim to reduce health expenditure while improving the quality and safety of care.",1
thus reducing the enormous fiscal and social costs of incarceration.,0
"ukip will roll out a national dementia plan to recommend research and treatment priorities, and co-ordinate expertise.",1
"this would report every three years on how much money the system needs to deliver safe and sustainable treatment and care, and how much is needed to meet the costs of projected increases in demand and any new initiatives – to ensure any changes in services are properly costed and affordable.",1
"and no to the cutting, taxing or means testing of child benefit.",1
develop a criminal justice strategy with emphasis on a community justice strategy and justice reinvestment.,2
reducing back-office costs will save taxpayers over $2 million a year.,0
and promote better integration of the behavioral and general health care systems.,1
those closely involved in the ets question its validity.,0
"we will provide sustainable, long-term funding to secure their future.",1
this freeing of public hospitals will not be a free market in care.,1
"ensure that all schools, especially those in poor and rural communities, are properly constructed, with access to electricity, water, sanitation, laboratories, libraries and the required books and stationery as well as icts thus improving their access to information and to closing the gap between rural and urban schools, and between schools serving rich and poor communities.; and,",1
"all australians, including those living in remote communities, have an equal right to essential government services such as health, education, training, housing, community infrastructure, employment support, and policing.",0
and increasing gender representation and training to equip the uk to contribute more effectively in these kinds of human security emergencies.,1
protecting the independence of the arts community;,0
the liberals have cut billions from victorian hospitals.,1
"in order to maintain america's global leadership, republicans have provided unprecedented support for federal research and development to help spur innovation.",2
or extended hours in early childhood education.,1
and repeal the rule that all new state funded schools must be free schools or academies.,1
cutting pollution isn’t just about preventing a climate crisis.,0
we will strengthen ofcom’s role so that tough measures can be taken against channels that broadcast extremist content.,2
national is keen to work with those involved in maori tourism to further develop and promote this unique and valuable point of difference to international visitors.,0
increase protections for unregistered cohabiting couples.,0
"that way the exporters will be able to expand, increase exports and create new jobs, new wealth for the family new zealand",0
"general practitioners in a regional setting must buy or establish their practice, and, when they leave, sell the practice.",1
"national will continue to invest strongly in road, rail, marine and aviation transport systems to get goods to market, and people to work and leisure.",0
we also believe in the importance of providing training for people according to their own abilities.,0
replace our dysfunctional water system with a network of regional publicly-owned water companies.,1
"however, it is important that our gas and electricity networks are kept in public ownership, so that access to this vital infrastructure is not jeopardised.",1
we made a start towards this £1 billion increase in the budget by securing a £250m a year investment in mental health.,1
and increase the flow of community intelligence.,2
"if they endanger others, we will put them in new alternative provision schools.",2
biodiversity we must work actively to protect the planet's biodiversity and preserve its forests.,0
"older people deserve to live a fulfilling life, to continue working if they wish, and to enjoy a secure retirement.",1
"driven by skills and innovation,",0
we will provide a comprehensive schools awareness programme,1
and we're having to produce more and more of them just to get by.,0
taxpayers fund the government’s activities.,1
• greater freedom to supplement maori educational outcomes,1
"in the basic freedoms of thought, worship, speech, association and choice.",2
"build a more connected economy by updating legislation to give certainty to digitisation for industry, businesses and consumers",1
"new planting will help property owners address soil erosion, water quality and biodiversity.",0
"raise the quality and profile of children’s social work,",1
"there are fewer new homes for social rent,",1
3. introducing legislation to give the public direct access to barristers;,1
"the nature of the fighting in iraq and afghanistan has resulted in an unprecedented incidence of traumatic brain injury, loss of limbs, and posttraumatic stress disorder which calls for a new commitment of resources and personnel for its treatment and care to promote recovery.",1
reinstate student allowance for post-graduate students,1
government must prioritise mental health.,1
"it should be a matter of great shame to this nation that, at the peak of the economic cycle, we have 300,000 working age new zealanders on a full time benefit – 110,000 of whom have been on a benefit for at least four years.",2
these committees will include strong external membership with business/accounting experience.,0
7) opposing the reintroduction of third-level fees through any guise and reform the grants system to take into account the real costs of going to college.,1
"another valued ally, the republic of korea remains vigilant with us against the tyranny and international ambitions of the maniacal state on its border.",1
and on backing our doctors and nurses,0
we will develop and promote models of integrated planning for small and medium scale development.,0
children can be blocked from a good education and become trapped in poverty unless barriers such as hunger and sickness are addressed.,1
"national’s goal is to not only prevent and reduce crime,",2
serious policing of petty crime has the effect of reducing crimes at all levels and preventing a culture of impunity.,2
"establish tangata whenua supply (tws) is a new initiative to encourage government departments, private organisations and corporate agencies to use suppliers from indigenous-owned businesses.",0
and we recognise that local authorities will have to find more sustainable sources of revenue appropriate to local circumstances.,0
this has resulted in distrust of the planning system.,2
nutrition,0
"the snp will introduce measures, in the bill of rights and in other legislation, to secure full rights,",2
through interventions that promote a developmental growth path to create more jobs and decent jobs.,1
and reduce fuel poverty and winter deaths.,1
"to ensure employees’ interests are represented at board level, we will change the law to ensure that listed companies will be required either to nominate a director from the workforce, create a formal employee advisory council or assign specific responsibility for employee representation to a designated non-executive director.",0
"a review needs to be conducted, independent of government, in order that we have an honest assessment of our current capability and capacity.",2
1. the eff government will rapidly increase the protected area network to ensure that all representative ecosystems unique to south africa are preserved and protected.,0
we should also access the global market for skilled workers and entrepreneurs both because our skills shortage impedes growth and because every skilled worker we import generates permanent jobs at minimal cost.,1
completed our $347 million warm up new zealand: heat smart scheme to provide insulation and/or clean heating to.,0
"upgrading law enforcement: the ifp will ensure more, better paid, better trained and better resourced police personnel who can get the job done.",2
"we will preserve the promise of medicaid as well by making that program, designed for 1965 medicine, a vehicle for good health in an entirely new era.",1
we will therefore examine ways in which the regulation of utilities and transport infrastructure can be improved to deliver a better deal for customers,1
"labor will establish 12 regional initiatives – six urban, four regional and two remote - as the first stage in implementation of a comprehensive, whole of system approach to suicide prevention.",1
we need fundamental change to reconnect politics with the public.”,0
"for example, a united states study has found that well connected rural regions performed better economically. 1",0
and other environmental designations.,0
"we have developed a number of initiatives to use public procurement to support irish businesses, including:",2
labor will ensure changes reflect the core ndis principles of choice and control.,1
"there can be no justification for discrimination under the guise of a conscience clause,",0
today there are just 3. 3 workers for each beneficiary.,1
and competitive alternatives available for the service concerned.,1
that is costing a billion dollars (newspaper heading: ‘unemployment hits its highest level in a decade).,1
• started laying fibre to vastly improve broadband speeds in rural areas.,0
"step up a massive programme on expanded public works linked to infrastructure and meeting social needs with home-based care, crèches, school cleaning and renovation, community gardens, removal of alien vegetation, tree planting and school feeding.",0
removing prescription charges for this group would cost a further $6.5 million a year.,1
further enhancing the origin green programme designed to establish ireland as a world leader in sustainably produced food and drink,0
"ensure that veterans receive appropriate support, treatment and compensation for injuries and health problems acquired as a result of their service",2
we will ensure that those taking the lead on clean energy and energy efficiency have the tools and resources they need to succeed.,0
this income inequality is not just bad for workers - it is bad for the economy.,0
good management and sound practices.,2
- move away from the insurance-based approach for acc,2
government can and must make sure the opportunities are there.,0
"with increased funding, the nih is now supporting nearly 40,000 projects, an all-time high.",0
"with this aim in mind, and drawing from best international practice, we will introduce new universal mortgage indemnity insurance (‘negative equity insurance’) that provides security for prudent lenders and borrowers against future risks of negative equity.",1
"farmers lose fewer stock in wet areas, have smaller vet bills, reduced costs for digging drains, reduced costs of weed control in riparian areas, reduced fertiliser costs as a result of retiring unproductive land, increased land values, and better pasture quality.",0
there are more ladas registered in new zealand than electric cars. 26,0
"we will also ensure internet access for every learner within ﬁve years by: extending the da’s khanya programme, which provides software, computers and support to poor schools in the western cape, to the rest of south africa.",1
"extending free gp visits up to 17-year-olds sends the message that the green party will support all young people and has the courage of its convictions to go beyond a smaller extension to age 13, as the current government proposes.",1
"the family income supplement has continued to support many low-paid families to remain in work during the crisis, and has been a critical part of making sure that work always pays.",1
"to become more equal and support our public services we will: end privatisation in the national health service,",1
"they cut funding to schools, which resulted in students being taught in overcrowded classrooms.",2
"guarantee the freedom of people to wear religious or cultural dress,",0
"encourage local government use of the community wage scheme for conservation and weed and pest control activities and for environmental activities including the beautification and maintenance of waterways, beaches, parks and roadsides and measures to clean up pollution.",0
and could create new jobs in wales through increased spending in local communities.,1
the sdf will be an all-professional force supported by part time volunteers,2
"create machinery to negotiate wages and working conditions,",1
deliver the money needed for england’s nhs by: continuing real-terms protection of the nhs budget,1
and dhbs will continue to make better use of their resources to support these new targets.,2
increased and supported diplomacy among our pacific neighbours,1
to end poverty and create an inclusive aotearoa.,0
* encourage employment through the introduction of a six-month probationary period to enable employers to take on new staff without the threat of punitive and expensive litigation.,2
we will reduce the number of qualifications from the current 3100 to around 1300 by the end of 2014 to help achieve this.,0
support the setting up of young farmers via increased young farmer installation aid to encourage the continued rejuvenation of the farming profession.,0
they will provide it.,2
"we will strengthen policing to rid our communities of all forms of crime, drugs, gangsterism and violence against women.",2
"gardaí will also have the power to require individual sex offenders to provide specific information about their movements and activities,",2
"fairly, efficiently and legally deporting those who have entered the country’s borders, harbours and airports illegally (particularly repeat offenders and those convicted of criminal offences) and returning them safely to their home countries.",0
• have an economic policy designed to achieve die 4 per cent annual growth new zealand needs to make real inroads into unemployment.,0
we salute the republican governors and state legislators who have saved their states from fiscal disaster by reforming their laws governing public employee unions.,0
* government should ensure access to quality schools.,1
private expenditure on safety must be deductible from tax.,0
businesses large and small are now feeling the pinch from the combined impact of poor infrastructure,0
we will also tackle mental health issues amongst prisoners in order to prevent future criminal behaviour.,1
"• introduced the training opportunities programme: to replace access, to ensure better targeted and more effective training for disadvantaged job seekers that leads to nationally recognised qualifications.",0
prisoners must sign an education covenant requiring them to complete their studies on release.,2
"democrats believe that it is a moral and an economic imperative that we support working families by rebuilding the american middle class for the 21st century,",0
"funding for west wales and the valleys and other regional funding should continue to be passed directly to wales for distribution, not to westminster.",0
"continuing efforts to identify and treat invisible, latent, and toxic wounds of war;",1
"in government, we supported a policy of subsidising welsh students so that they wouldn’t be penalised by the changes at westminster.",0
language and coding skills will help to promote entrepreneurialism and foster new start-ups across the country.,1
• $1 billion in savings over four years.,2
"where we can be: top quality welsh produce being sold and marketed across the world, increasing demand for welsh produce and pushing up farmgate prices.",0
"the da will re-energise the housing programme with partnerships between communities, municipalities and developers aimed at satisfying needs without placing an insupportable burden on the state.",1
every employee now has the right to four weeks’ paid holiday; trade unions have the right to recognition where a majority of the workforce want it; part-time workers have proper rights.,0
the strategic investment bank will be established in two phases.,1
"-> launched a new, more user- friendly, on-line grant application system.",2
"the green party will create a $50 million per annum pool that local authorities, in consultation with their schools, will be able to apply for funding from.",0
"as part of our broad reform of the tax system, which includes the abolition of the use, we will introduce a levy of 5% on individual incomes over €100,000.",0
removed funding for low-value short courses and pure regulatory compliance.,0
"our country is less safe,",2
$4.5 million to help maori families access te reo maori over three years.,0
"creating specialised anti-crime units and officer-level positions aimed at eradicating organised crime,",2
• investigate the introduction of a flexible care subsidy to assist the development of appropriate services for individuals.,0
set up operation anvil to crack down on gun crime;,2
we will: increase the national minimum wage over the next 3 years to rebalance the shortfalls from previous years;,1
set up the official christchurch earthquake appeal.,2
"we are setting a target of reducing national debt to 75% of gdp by 2021, and this should go down to 60% by the end of the next decade.",2
" provide better incentives for the nursing, rehabilitation and treatment of the elderly in non-medical institutions, such as rest homes, at home and in retirement villages;",1
"our national care service will work in partnership with the nhs, ensuring care is delivered for people, not for profit.",0
